,Rank,Days,frame,idle duration,idle clips,idle average,marking duration,marking clips,marking average,injection duration,injection clips,injection average,dissection duration,dissection clips,dissection average,idle2marking,idle2injection,idle2dissection,marking2idle,marking2injection,marking2dissection,injection2idle,injection2marking,injection2dissection,dissection2idle,dissection2marking,dissection2injection
Rank,1.0,0.9657822102318258,-0.47309273499507126,-0.5557043282761255,-0.5922648920345331,0.27336192416451977,0.14856170495771903,-0.10267825855552268,0.32909482834785286,-0.5500378046723305,-0.6068315262909205,0.2902875785561046,-0.3261834789664762,-0.5383744030944103,0.26941065273981435,0.22000797955148427,-0.41119407785766127,0.21982235155389646,0.1269029812409658,,-0.21739130434782605,-0.0043158364872012515,-0.21739130434782622,0.0503294443490773,0.0125801448539312,,-0.019812865160863478
Days,0.9657822102318258,1.0,-0.5055308478637743,-0.6075852250113576,-0.6290245054670152,0.23925341280719434,0.23473068929687702,-0.015265630096616647,0.36789723483411096,-0.5573577662830733,-0.6090816149911633,0.2572462548274614,-0.34993548970084126,-0.5970207605923701,0.30105285414226907,0.27480034325447517,-0.32860814719114234,0.12066926110346211,0.21150616212459028,,-0.2598394726303504,0.019673532467565723,-0.2598394726303506,0.033831287651141434,-0.028503108141774185,,-0.04735409553796183
frame,-0.47309273499507126,-0.5055308478637743,1.0,0.9168513004965377,0.920538066975377,-0.4032814262405108,0.2399891605051916,0.1871240817941407,0.15855487140419042,0.7677061943878554,0.8216985977287643,-0.28251645986152213,0.941432599552439,0.9037373977009097,-0.3694785439337779,-0.4592697057246636,0.011410092152494972,0.24572409009233415,-0.020717204394178533,,0.2647110233996599,-0.1333733129720259,0.26471102339966,0.08568143537629652,0.15542017947423092,,0.15628079433727463
idle duration,-0.5557043282761255,-0.6075852250113576,0.9168513004965377,1.0,0.8997344433346264,-0.20689782796353526,0.07869886277212776,0.1706405396085601,-0.058798079306405286,0.7279881849521843,0.7916251263992323,-0.26036476677787207,0.7440902850941344,0.8873493716369898,-0.38773352406336503,-0.39858699030531086,0.02694932782695783,0.19907526520921354,-0.02715625704559256,,0.2604898419630328,-0.08936315885837129,0.26048984196303304,0.03991280270525351,0.15455182205068624,,0.11386111239155015
idle clips,-0.5922648920345331,-0.6290245054670152,0.920538066975377,0.8997344433346264,1.0,-0.4863123845142104,0.1335882919477864,0.2535043857702255,-0.07927060910351595,0.8470370099436514,0.911485654201371,-0.3485842866161432,0.7956102120093712,0.9729636414041232,-0.4646032749873405,-0.43389494127587097,0.0952879910868743,0.16184355759969002,-0.038750949504313514,,0.33083148047305194,-0.20085423656084977,0.33083148047305205,0.14330458806379,0.1447993860540755,,0.22788820935893225
idle average,0.27336192416451977,0.23925341280719434,-0.4032814262405108,-0.20689782796353526,-0.4863123845142104,1.0,-0.26616654401256373,-0.25805850636291033,-0.16182671332454893,-0.38621750902455415,-0.42461493407362855,0.5689353835032952,-0.4727512859059229,-0.475476739869747,0.5055320982435207,0.23044212724432953,-0.04386368851842685,-0.09156568140813999,-0.13850847214815365,,-0.0952509167094001,0.1402818591558744,-0.09525091670940017,-0.1286715115054772,-0.1634528005606913,,-0.1442151177122649
marking duration,0.14856170495771903,0.23473068929687702,0.2399891605051916,0.07869886277212776,0.1335882919477864,-0.26616654401256373,1.0,0.6134767640501523,0.8809633427287031,0.18519235012279303,0.13827005555686359,-0.04947518304650575,0.26951924854256326,0.08210078561992798,-0.06455655431078283,0.21439047618932083,-0.08172064109485283,-0.05115178736421864,0.7544559069324784,,-0.17078428246223826,-0.030508653697499628,-0.17078428246223837,0.0682882633533592,0.0054678947866491035,,0.010286666513719744
marking clips,-0.10267825855552268,-0.015265630096616647,0.1871240817941407,0.1706405396085601,0.2535043857702255,-0.25805850636291033,0.6134767640501523,1.0,-0.3249568772070999,0.29620663000367414,0.3003389967310204,-0.1401841215931522,0.10135854188240032,0.1585836557136673,-0.05776518233774552,0.4709022522406351,0.10094636726987233,-0.3456599712378907,0.7761119256184607,,0.028003161424233466,-0.037062833521719414,0.028003161424233442,0.033398119382374636,-0.031311464224289536,,0.038414333371162616
marking average,0.32909482834785286,0.36789723483411096,0.15855487140419042,-0.058798079306405286,-0.07927060910351595,-0.16182671332454893,0.8809633427287031,-0.3249568772070999,1.0,-0.05780934149583921,-0.12730974763271455,0.1354432845644238,0.308699775165956,-0.05063388526106757,-0.016495086174456032,-0.27241356411135775,-0.19779332219089293,0.30133913219005576,0.30885200444788596,,-0.30885200444788596,0.0331425329268216,-0.30885200444788574,0.03003189591856693,0.07374571386074472,,-0.06573238920878494
injection duration,-0.5500378046723305,-0.5573577662830733,0.7677061943878554,0.7279881849521843,0.8470370099436514,-0.38621750902455415,0.18519235012279303,0.29620663000367414,-0.05780934149583921,1.0,0.9265266620969437,-0.12442932520560535,0.6129522345463992,0.7387287839071626,-0.32695186775146734,-0.34833890598581096,0.4118186961829054,-0.14902843083166759,-0.03219245130656014,,0.26831477820186406,-0.09690145698235639,0.2683147782018642,0.046257573764868526,0.12109788521194974,,0.12190865738280506
injection clips,-0.6068315262909205,-0.6090816149911633,0.8216985977287643,0.7916251263992323,0.911485654201371,-0.42461493407362855,0.13827005555686359,0.3003389967310204,-0.12730974763271455,0.9265266620969437,1.0,-0.34620955206642734,0.6810155699745125,0.7988395850240235,-0.3667066261547595,-0.3576053366456884,0.4371010066982921,-0.164911949820612,-0.06195425513154143,,0.32098067251074053,-0.1733695111287664,0.3209806725107408,0.11624013319317197,0.11376839136412016,,0.20060266804519833
injection average,0.2902875785561046,0.2572462548274614,-0.28251645986152213,-0.26036476677787207,-0.3485842866161432,0.5689353835032952,-0.04947518304650575,-0.1401841215931522,0.1354432845644238,-0.12442932520560535,-0.34620955206642734,1.0,-0.28299735323322817,-0.32511500598001575,0.40866840445391217,0.11449225510751516,-0.1309030338589112,0.045277552114920704,-0.04116624035264267,,-0.088497646257431,0.1382756614580644,-0.08849764625743108,-0.1279660062501428,-0.0949065094866826,,-0.1415593017963357
