1. 46: 03/07/2008
2. 48: 17/07/2008
3. 47: 18/09/2008
4. 45: 29/10/2008
5. 44: 30/10/2008
6. 50: 23/12/2008
7. 20: 23/12/2008
8. 49: 12/02/2009
9. 22: 14/10/2010
10. 16: 27/06/2012
11. 23: 27/06/2012
12. 26: 10/10/2012
13. 17: 23/08/2013
14. 21: 28/11/2013
15. 24: 17/12/2013
16. 3: 27/02/2014
17. 1: 17/06/2014
18. 18: 14/05/2015
19. 42: 25/06/2015
20. 27: 16/09/2015
21. 31: 05/01/2016
22. 28: 01/03/2016
23. 30: 29/03/2016
24. 29: 03/06/2016
25. 41: 17/06/2016
26. 40: 04/07/2016
27. 6:    20/07/2016
28. 2:    19/09/2016
29. 25:  05/10/2016
30. 7:    15/11/2016
31. 8:    26/04/2017
32. 9:    08/07/2017
33. 32: 12/09/2017
34. 33: 17/10/2017
35. 34: 25/07/2018
36. 36: 20/02/2019
37. 4:    07/03/2019
38. 11: 23/03/2019
39. 35: 01/04/2019
40. 37: 18/05/2019
41. 38: 21/06/2019
42. 10: 17/09/2019
43. 12: 29/10/2019
44. 15: 13/11/2019
45. 13: 28/11/2019
46. 14: 06/01/2020
47. 5:   02/03/2020
